user_id,age,salary,department,join_date,city,performance_score,experience_years,is_active
user_0,-5,₹50000,HR,2020/12/01,DELHI,3,five,True
U1001,30,45000,Finance,15/02/2021,Delhi,3,1,yes
U1002,30,25000,HR,,Delhi,excellent,10,False
,unknown,N/A,HR,invalid,Hyderabad,excellent,5,yes
,,120000.75,IT,,DELHI,,-1,False
user_5,,25000,IT,invalid,,3,0,no
,45,25000,,invalid,mumbai,5,,
,45,45000,,invalid,Delhi,3,,yes
user_8,,N/A,HR,invalid,mumbai,3,-1,yes
U1009,200,,IT,,Bangalore,poor,1,False
U1010,45,78000,Sales,,mumbai,excellent,5,False
user_11,18,120000.75,Finance,invalid,Mumbai,,,
,60,45000,IT,invalid,,3,5,no
,-5,25000,HR,2020/12/01,Mumbai,4,10,
,,78000,HR,2022-01-15,DELHI,,1,
,45,,it ,2022-01-15,Hyderabad,4,,True
U1016,25,45000,Finance,2020/12/01,DELHI,4,1,yes
,25,120000.75,IT,,mumbai,1,3,yes
,-5,,it ,2020/12/01,Mumbai,1,5,True
,30,N/A,Finance,invalid,,4,1,True
,30,N/A,IT,invalid,,2,-1,True
,45,45000,HR,15/02/2021,Delhi,1,-1,True
,18,₹50000,it ,invalid,Bangalore,poor,1,True
U1023,60,78000,Sales,invalid,Hyderabad,,0,False
,25,120000.75,Sales,,Mumbai,2,5,yes
,unknown,45000,HR,2020/12/01,DELHI,excellent,five,
,-5,N/A,HR,2022-01-15,Hyderabad,1,-1,yes
,,25000,HR,2020/12/01,Bangalore,2,0,yes
user_28,unknown,₹50000,it ,,DELHI,poor,3,yes
user_29,25,25000,HR,2020/12/01,DELHI,poor,3,yes
U1030,200,45000,IT,2022-01-15,DELHI,3,five,yes
U1031,18,25000,Finance,invalid,Hyderabad,poor,,False
,,25000,HR,,,2,10,True
,,25000,HR,15/02/2021,Mumbai,,5,True
,200,N/A,Sales,invalid,Delhi,2,,no
U1035,18,45000,Sales,,Bangalore,,3,no
U1036,200,₹50000,IT,invalid,Bangalore,3,,no
U1037,unknown,25000,it ,2020/12/01,Bangalore,poor,1,yes
,60,120000.75,it ,,,2,,False
U1039,200,78000,,2022-01-15,DELHI,1,1,
,unknown,N/A,HR,2022-01-15,Hyderabad,excellent,,False
U1041,18,120000.75,IT,2020/12/01,Mumbai,poor,-1,
,60,45000,Sales,invalid,Mumbai,5,five,True
,,,IT,,Delhi,poor,3,yes
user_44,,45000,HR,2022-01-15,Mumbai,excellent,,yes
U1045,-5,45000,IT,15/02/2021,Mumbai,2,0,yes
,-5,,Sales,,DELHI,2,,no
,unknown,78000,it ,2022-01-15,,excellent,3,no
user_48,45,78000,HR,invalid,Delhi,4,1,True
