order_id,customer_id,customer_age,order_amount,order_date,payment_mode,city,delivery_days,is_delivered
ORD1000,,,250.5,2023-01-15,Debit Card,,5,True
ORD1001,,18,1200,2023/03/10,Debit Card,,5,yes
ORD1002,CUST2,35,,,,Mumbai,7,yes
ORD1003,user_3,35,1200,2023-01-15,Cash,,three,False
ORD1004,user_4,-3,3500.75,2023-01-15,CARD,,three,yes
,,,1200,2023-01-15,CARD,mumbai,1,False
ORD1006,CUST6,-3,N/A,,upi,Bangalore,5,no
ORD1007,,120,,2023-01-15,CARD,,5,no
ORD1008,user_8,18,N/A,2023/03/10,Debit Card,,7,False
,user_9,NA,N/A,2023/03/10,UPI,Delhi,-1,no
,,65,₹999,2023-01-15,Credit Card,Bangalore,7,False
,CUST11,18,3500.75,,Cash,Mumbai,-1,False
ORD1012,,65,₹999,invalid,Credit Card,Delhi,7,False
,CUST13,,N/A,invalid,Cash,Mumbai,7,False
ORD1014,CUST14,25,N/A,2023/03/10,upi,DELHI,5,yes
,CUST15,NA,499.99,2023-01-15,Credit Card,Hyderabad,2,
,,50,₹999,15/02/2023,CARD,Delhi,,
,,-3,,15/02/2023,upi,Hyderabad,,True
,user_18,18,250.5,2023/03/10,Cash,Hyderabad,5,yes
,user_19,NA,250.5,,Debit Card,Mumbai,2,
,,18,1200,invalid,,Delhi,5,
,,25,499.99,,Credit Card,Mumbai,,yes
,,35,3500.75,2023-01-15,Debit Card,Mumbai,,
,,35,3500.75,,,,1,no
ORD1024,CUST24,,₹999,invalid,Credit Card,DELHI,1,yes
,,35,3500.75,2023/03/10,Cash,DELHI,1,True
,user_26,25,,2023/03/10,Debit Card,Hyderabad,7,no
,,25,₹999,2023-01-15,,,,True
ORD1028,CUST28,NA,₹999,,Cash,,,
,user_29,NA,N/A,,Debit Card,DELHI,7,True
ORD1030,user_30,65,3500.75,15/02/2023,CARD,DELHI,,no
,user_31,18,,2023/03/10,CARD,mumbai,three,False
ORD1032,,25,,2023-01-15,CARD,mumbai,2,
ORD1033,user_33,120,499.99,15/02/2023,upi,Bangalore,,yes
ORD1034,,120,3500.75,2023/03/10,Debit Card,Hyderabad,7,True
,user_35,50,499.99,,Cash,DELHI,-1,yes
,CUST36,50,499.99,2023/03/10,Credit Card,Bangalore,7,
,,,3500.75,15/02/2023,CARD,mumbai,7,
,CUST38,35,,15/02/2023,CARD,,1,True
,,65,,invalid,Debit Card,Mumbai,three,True
,,35,,15/02/2023,UPI,Hyderabad,1,True
,,18,3500.75,invalid,UPI,mumbai,three,yes
,user_42,18,N/A,invalid,,Hyderabad,,True
ORD1043,,50,499.99,15/02/2023,CARD,Mumbai,7,yes
ORD1044,,NA,3500.75,15/02/2023,upi,mumbai,three,yes
ORD1045,,50,₹999,,Debit Card,Delhi,,no
ORD1046,,35,₹999,15/02/2023,upi,Delhi,7,False
,user_47,25,N/A,2023/03/10,Cash,Mumbai,-1,
,,50,₹999,2023-01-15,Credit Card,Delhi,1,yes
ORD1049,CUST49,120,3500.75,15/02/2023,,Hyderabad,-1,False
,,35,N/A,2023/03/10,,Hyderabad,5,
ORD1051,user_51,50,499.99,15/02/2023,CARD,Delhi,-1,
,,50,1200,,Debit Card,Bangalore,,yes
,user_53,120,3500.75,,Debit Card,Hyderabad,,
,user_54,35,,,Credit Card,,5,
ORD1055,CUST55,35,3500.75,invalid,UPI,Delhi,three,False
ORD1056,user_56,25,3500.75,2023/03/10,UPI,Bangalore,2,False
ORD1057,CUST57,35,N/A,15/02/2023,Credit Card,Mumbai,-1,yes
,,65,₹999,,Cash,Delhi,1,yes
,,-3,3500.75,15/02/2023,Cash,Bangalore,three,False
,,50,₹999,,CARD,Bangalore,three,no
,CUST61,,N/A,2023-01-15,Debit Card,Mumbai,three,True
ORD1062,,25,₹999,invalid,Cash,Delhi,2,False
,,18,1200,2023-01-15,Credit Card,Delhi,1,
,,25,3500.75,2023/03/10,UPI,mumbai,1,no
ORD1065,user_65,18,N/A,invalid,Debit Card,Bangalore,three,True
ORD1066,,-3,1200,15/02/2023,,,7,yes
,user_67,25,499.99,invalid,,mumbai,1,yes
,user_68,120,250.5,,CARD,,-1,
,user_69,-3,3500.75,,Credit Card,mumbai,,no
,,50,3500.75,invalid,Cash,DELHI,2,
,,65,499.99,2023/03/10,Debit Card,Mumbai,,False
,,25,3500.75,invalid,Cash,,three,yes
,,25,₹999,2023/03/10,CARD,Delhi,three,False
,user_74,-3,499.99,2023/03/10,upi,mumbai,1,yes
,CUST75,,1200,15/02/2023,upi,Delhi,1,False
,,,3500.75,invalid,,Hyderabad,-1,yes
ORD1077,,-3,₹999,2023-01-15,,Hyderabad,,
ORD1078,CUST78,50,₹999,2023-01-15,Cash,mumbai,2,False
,CUST79,,N/A,15/02/2023,CARD,,,yes
,CUST80,120,3500.75,2023/03/10,upi,,2,yes
,user_81,50,499.99,2023-01-15,Debit Card,DELHI,,False
,user_82,18,1200,2023-01-15,Debit Card,Mumbai,,True
,,65,250.5,2023-01-15,,Bangalore,7,False
,user_84,35,1200,invalid,Cash,,2,False
,,120,3500.75,15/02/2023,Cash,,1,yes
ORD1086,,50,N/A,15/02/2023,,mumbai,three,yes
ORD1087,CUST87,-3,3500.75,,UPI,mumbai,-1,no
,,-3,499.99,2023/03/10,upi,,-1,False
,user_89,65,N/A,2023/03/10,CARD,Hyderabad,1,yes
,,,499.99,15/02/2023,CARD,Bangalore,1,True
,,18,,15/02/2023,,Delhi,2,True
ORD1092,,50,499.99,2023-01-15,Credit Card,Bangalore,2,no
,,25,499.99,2023-01-15,UPI,Mumbai,5,
,,NA,3500.75,invalid,Cash,mumbai,,False
,user_95,120,499.99,15/02/2023,Debit Card,Bangalore,,True
,CUST96,35,N/A,,Cash,,5,True
,user_97,NA,,invalid,UPI,DELHI,three,no
,,35,3500.75,invalid,CARD,Delhi,5,True
,,50,250.5,2023-01-15,Debit Card,Hyderabad,-1,
,,35,1200,,CARD,,-1,yes
,,35,,2023/03/10,Cash,Delhi,-1,no
ORD1102,user_102,-3,₹999,,UPI,Mumbai,5,False
,user_103,25,,invalid,upi,mumbai,-1,True
,,120,250.5,invalid,Cash,DELHI,7,no
,,,1200,2023/03/10,Credit Card,,1,False
,,NA,₹999,,upi,,1,yes
,,,1200,invalid,Cash,Bangalore,three,False
,CUST108,35,3500.75,invalid,,Bangalore,,True
ORD1109,,,₹999,2023-01-15,,mumbai,7,yes
,,35,250.5,invalid,Debit Card,,7,
,CUST111,-3,1200,invalid,Debit Card,Delhi,three,
,user_112,-3,₹999,,upi,Delhi,three,yes
,user_113,50,,,CARD,Bangalore,three,
,,120,N/A,2023/03/10,Debit Card,Delhi,5,no
ORD1115,,-3,250.5,2023-01-15,Cash,mumbai,-1,False
,,NA,N/A,invalid,UPI,Delhi,-1,True
,CUST117,18,250.5,2023/03/10,Debit Card,Delhi,5,True
,,35,N/A,2023-01-15,UPI,Bangalore,2,True
,CUST119,25,250.5,invalid,,Delhi,7,
ORD1120,CUST120,120,N/A,invalid,,,,
,CUST121,,3500.75,2023/03/10,Cash,Bangalore,7,no
,CUST122,,,2023/03/10,Debit Card,Hyderabad,three,False
,CUST123,25,₹999,,upi,mumbai,-1,False
ORD1124,,25,,15/02/2023,CARD,Mumbai,-1,False
,,50,250.5,2023-01-15,CARD,DELHI,2,True
ORD1126,CUST126,120,250.5,2023/03/10,CARD,,-1,
,,35,₹999,,CARD,DELHI,7,True
,,-3,1200,invalid,,mumbai,,False
,CUST129,25,250.5,15/02/2023,,,-1,
ORD1130,user_130,18,₹999,invalid,UPI,Mumbai,-1,True
,user_131,50,₹999,2023/03/10,Cash,,three,
,CUST132,35,₹999,,Debit Card,Delhi,2,
,CUST133,NA,₹999,15/02/2023,Debit Card,Mumbai,2,yes
ORD1134,,-3,₹999,,,Hyderabad,,no
,user_135,25,250.5,15/02/2023,UPI,,,
ORD1136,,25,250.5,2023-01-15,UPI,Delhi,2,
ORD1137,,,N/A,2023-01-15,UPI,Bangalore,1,no
ORD1138,,120,₹999,15/02/2023,upi,mumbai,-1,yes
ORD1139,CUST139,120,3500.75,2023-01-15,UPI,Hyderabad,1,yes
ORD1140,user_140,65,499.99,2023-01-15,Credit Card,,three,False
